title,id,release_date,production_budget,domestic_gross,worldwide_gross,domestic_roi,worldwide_roi,movie_id,start_year,genres,count,release_year,release_month
1982,23,"Mar 1, 2016",1000000,0,0,0.0,0.0,tt5671400,2015,['Documentary'],1,2016,Mar 
3,85,"Sep 16, 2011",7200000,59774,295492,0.008301944444444445,0.04104055555555555,tt1517177,2010,"['Comedy', 'Drama', 'Romance']",1,2011,Sep 
3 Backyards,51,"Mar 11, 2011",300000,39475,39475,0.13158333333333333,0.13158333333333333,tt1314190,2010,['Drama'],1,2011,Mar 
50/50,73,"Sep 30, 2011",8000000,35016118,41334735,4.37701475,5.166841875,tt1734060,2010,['Documentary'],1,2011,Sep 
8 Days,48,"Oct 13, 2015",2500000,0,0,0.0,0.0,tt3111864,2014,"['Drama', 'Thriller']",1,2015,Oct 
A Little Bit of Heaven,39,"May 4, 2012",12500000,10011,1100287,0.00080088,0.08802296,tt1440161,2011,"['Comedy', 'Drama', 'Fantasy']",1,2012,May 
A Lonely Place to Die,56,"Mar 20, 2012",4000000,0,442550,0.0,0.1106375,tt1422136,2011,"['Adventure', 'Crime', 'Thriller']",1,2012,Mar 
A Monster Calls,41,"Jan 6, 2017",43000000,3740823,46414530,0.08699588372093023,1.0794076744186047,tt3416532,2016,"['Animation', 'Drama', 'Fantasy']",1,2017,Jan 
Above and Beyond,38,"Jan 30, 2015",1300000,288751,288751,0.22211615384615385,0.22211615384615385,tt2704752,2014,"['Adventure', 'Documentary', 'History']",1,2015,Jan 
Addicted,96,"Oct 10, 2014",5000000,17390770,17499242,3.478154,3.4998484,tt5396774,2013,['Comedy'],1,2014,Oct 
Aloft,33,"May 22, 2015",8000000,53086,237688,0.00663575,0.029711,tt2494384,2014,['Drama'],1,2015,May 
American Heist,35,"Jul 21, 2015",10000000,0,2341218,0.0,0.2341218,tt2923316,2014,"['Action', 'Crime', 'Drama']",1,2015,Jul 
Amidst the Devil's Wings,66,"Dec 8, 2015",300000,0,0,0.0,0.0,tt3976258,2014,"['Action', 'Crime', 'Drama']",1,2015,Dec 
Amigo,94,"Aug 19, 2011",1500000,184705,184705,0.12313666666666667,0.12313666666666667,tt1562847,2010,"['Drama', 'War']",1,2011,Aug 
Amnesiac,72,"Aug 14, 2015",3000000,0,0,0.0,0.0,tt2837336,2014,"['Drama', 'Horror', 'Mystery']",1,2015,Aug 
Anna,64,"Jun 6, 2014",4357373,0,1200000,0.0,0.2753952897766613,tt1715336,2013,"['Drama', 'Mystery', 'Sci-Fi']",1,2014,Jun 
Antarctica: A Year on Ice,71,"Nov 28, 2014",1000000,288757,288757,0.288757,0.288757,tt2361700,2013,"['Adventure', 'Biography', 'Documentary']",1,2014,Nov 
Antiviral,63,"Apr 12, 2013",3100000,0,123407,0.0,0.039808709677419354,tt2099556,2012,"['Horror', 'Sci-Fi', 'Thriller']",1,2013,Apr 
Arrowhead,46,"Jun 16, 2017",180000,0,0,0.0,0.0,tt3013160,2016,"['Action', 'Adventure', 'Sci-Fi']",1,2017,Jun 
Ask Me Anything,33,"Mar 3, 2015",950000,0,0,0.0,0.0,tt2505294,2014,['Drama'],1,2015,Mar 
Bad Words,44,"Mar 14, 2014",10000000,7779614,7843145,0.7779614,0.7843145,tt2170299,2013,"['Comedy', 'Drama']",1,2014,Mar 
Ballerina,47,"Aug 25, 2017",30000000,21858070,96892829,0.7286023333333334,3.2297609666666665,tt2261287,2016,"['Adventure', 'Animation', 'Comedy']",1,2017,Aug 
Banshee Chapter,30,"Jan 10, 2014",950000,0,78122,0.0,0.08223368421052632,tt2011276,2013,"['Horror', 'Sci-Fi', 'Thriller']",1,2014,Jan 
Barney's Version,86,"Jan 14, 2011",30000000,7502560,8845575,0.2500853333333333,0.2948525,tt1423894,2010,"['Comedy', 'Drama']",1,2011,Jan 
Before We Go,52,"Sep 4, 2015",3000000,37151,483938,0.012383666666666666,0.16131266666666666,tt0443465,2014,"['Comedy', 'Drama', 'Romance']",1,2015,Sep 
Begin Again,91,"Jun 27, 2014",8000000,16170632,68838736,2.021329,8.604842,tt1945037,2013,"['Drama', 'Family']",1,2014,Jun 
Beginners,57,"Jun 3, 2011",3200000,5790894,14314407,1.809654375,4.4732521875,tt1532503,2010,"['Comedy', 'Drama', 'Romance']",1,2011,Jun 
Below Zero,83,"Aug 28, 2012",1200000,0,0,0.0,0.0,tt1641388,2011,['Thriller'],1,2012,Aug 
Bernie,48,"Apr 27, 2012",6000000,9204489,10106975,1.5340815,1.6844958333333333,tt1704573,2011,"['Biography', 'Comedy', 'Crime']",1,2012,Apr 
Birth of the Dragon,34,"Aug 25, 2017",31000000,6901965,7220490,0.2226440322580645,0.2329190322580645,tt2720826,2016,"['Action', 'Biography', 'Drama']",1,2017,Aug 
Biutiful,44,"Jan 28, 2011",35000000,5101237,24687524,0.14574962857142856,0.7053578285714286,tt1164999,2010,"['Drama', 'Romance']",1,2011,Jan 
Black Rock,13,"May 14, 2013",1000000,0,0,0.0,0.0,tt1930294,2012,"['Horror', 'Thriller']",1,2013,May 
Black or White,80,"Jan 30, 2015",9000000,21571189,21971021,2.3967987777777777,2.4412245555555554,tt2883434,2014,['Drama'],1,2015,Jan 
Blood Ties,52,"Mar 21, 2014",26000000,42472,2923959,0.0016335384615384614,0.11245996153846154,tt1747958,2013,"['Action', 'Crime', 'Drama']",1,2014,Mar 
Blue Ruin,7,"Apr 25, 2014",420000,258384,437002,0.6152,1.0404809523809524,tt2359024,2013,"['Crime', 'Drama', 'Thriller']",1,2014,Apr 
Born of War,92,"Jan 27, 2015",5000000,0,0,0.0,0.0,tt1554921,2014,"['Action', 'Drama', 'Thriller']",1,2015,Jan 
Braid,48,"Feb 1, 2019",1660000,0,80745,0.0,0.04864156626506024,tt4638148,2018,"['Horror', 'Mystery', 'Thriller']",1,2019,Feb 
Brighton Rock,11,"Aug 26, 2011",11000000,229653,229653,0.020877545454545454,0.020877545454545454,tt1233192,2010,"['Crime', 'Drama', 'Thriller']",1,2011,Aug 
Brooklyn,79,"Nov 4, 2015",11000000,38322743,62076141,3.4838857272727273,5.643285545454545,tt3184798,2014,"['Drama', 'Music', 'Musical']",1,2015,Nov 
Brothers,8,"Aug 14, 2015",13000000,656688,17856688,0.050514461538461536,1.3735913846153847,tt3042592,2014,['Action'],1,2015,Aug 
Bullet to the Head,42,"Feb 1, 2013",55000000,9489829,22597969,0.17254234545454544,0.41087216363636364,tt1308729,2012,"['Action', 'Crime', 'Thriller']",1,2013,Feb 
Burnt,27,"Oct 30, 2015",20000000,13651946,36773510,0.6825973,1.8386755,tt4607118,2014,"['Comedy', 'Drama']",1,2015,Oct 
Butterfly Girl,45,"Feb 27, 2015",180000,17503,17503,0.09723888888888889,0.09723888888888889,tt2421956,2014,['Documentary'],1,2015,Feb 
Cargo,73,"Oct 21, 2011",4200000,0,313230,0.0,0.07457857142857142,tt5357254,2010,['Documentary'],1,2011,Oct 
Cheap Thrills,89,"Mar 21, 2014",100000,59424,59424,0.59424,0.59424,tt2389182,2013,"['Comedy', 'Crime', 'Drama']",1,2014,Mar 
Collide,13,"Feb 24, 2017",29200000,2280004,5466698,0.07808232876712329,0.18721568493150684,tt2126235,2016,"['Action', 'Crime', 'Thriller']",1,2017,Feb 
Coriolanus,99,"Jan 20, 2012",10000000,749641,2179623,0.0749641,0.2179623,tt1372686,2011,"['Drama', 'Thriller', 'War']",1,2012,Jan 
Creative Control,82,"Mar 11, 2016",1000000,63014,63014,0.063014,0.063014,tt3277624,2015,"['Drama', 'Sci-Fi']",1,2016,Mar 
Crossroads,86,"Jun 23, 2015",500000,0,0,0.0,0.0,tt1980074,2014,['Action'],1,2015,Jun 
Da Sweet Blood of Jesus,56,"Jan 13, 2015",1250000,0,0,0.0,0.0,tt3104930,2014,"['Comedy', 'Romance', 'Thriller']",1,2015,Jan 
Damsels in Distress,31,"Apr 6, 2012",3000000,1007535,1324299,0.335845,0.441433,tt1667307,2011,"['Comedy', 'Drama', 'Romance']",1,2012,Apr 
Dawn of the Crescent Moon,2,"Jul 17, 2015",75000,8799,8799,0.11732,0.11732,tt3157318,2014,"['Drama', 'Sci-Fi', 'Thriller']",1,2015,Jul 
Deceptive Practice: The Mysteries and Mentors of Ricky Jay,52,"Apr 17, 2013",500000,152449,152449,0.304898,0.304898,tt2654360,2012,['Documentary'],1,2013,Apr 
Departure,3,"Mar 7, 2017",1100000,0,27561,0.0,0.025055454545454544,tt5299312,2016,"['Drama', 'Romance']",1,2017,Mar 
Desert Dancer,38,"Apr 10, 2015",4000000,155271,596335,0.03881775,0.14908375,tt2403393,2014,"['Biography', 'Drama', 'Music']",1,2015,Apr 
Detention,45,"Apr 13, 2012",10000000,0,0,0.0,0.0,tt1701990,2011,"['Comedy', 'Horror', 'Mystery']",1,2012,Apr 
Detention of the Dead,66,"Jun 28, 2013",500000,1778,1778,0.003556,0.003556,tt1865346,2012,"['Action', 'Adventure', 'Comedy']",1,2013,Jun 
Dheepan,12,"May 6, 2016",9000000,248795,7704357,0.027643888888888888,0.8560396666666666,tt4082068,2015,"['Crime', 'Drama']",1,2016,May 
Dom Hemingway,52,"Apr 2, 2014",7000000,523511,1857458,0.07478728571428571,0.26535114285714284,tt2402105,2013,"['Comedy', 'Crime', 'Drama']",1,2014,Apr 
