primary_name,production_budget,domestic_gross,worldwide_gross,domestic_roi,worldwide_roi,averagerating,numvotes,count,total_production_budget,total_domestic_gross,total_worldwide_gross
Aaron Seltzer,20000000.0,36661504.0,81424988.0,1.8330752,4.0712494,3.4,43984.0,1,20000000,36661504,81424988
Aash Aaron,3500000.0,12600000.0,12600000.0,3.6,3.6,8.1,16.0,1,3500000,12600000,12600000
Aashiq Abu,75000000.0,14010690.0,30626690.0,0.1868092,0.4083558666666667,8.6,372.0,1,75000000,14010690,30626690
Abby Kohn,32000000.0,48795601.0,91553797.0,1.52486253125,2.86105615625,5.4,39936.0,1,32000000,48795601,91553797
Abhijit Guha,85000000.0,85900357.5,247044307.0,1.0713866485714285,3.0076573557142856,6.2,72.0,2,170000000,171800715,494088614
Adam Brooks,85000000.0,28681080.0,35681080.0,0.33742447058823527,0.4197774117647059,6.0,2482.0,1,85000000,28681080,35681080
Adam Green,150000000.0,400738009.0,1272469910.0,2.671586726666667,8.483132733333333,6.2,62311.0,1,150000000,400738009,1272469910
Adam McKay,59500000.0,91167209.25,136792036.75,1.7614515895238094,2.772569633690476,7.0,189965.5,4,238000000,364668837,547168147
Adam Robitel,10000000.0,67745330.0,167885588.0,6.774533,16.7885588,5.7,42154.0,1,10000000,67745330,167885588
Adam Shankman,45000000.0,46565258.0,65471917.5,1.640430525,2.1837399464285716,5.4,40025.5,2,90000000,93130516,130943835
Adam Shaw,5000000.0,67268835.0,148806510.0,13.453767,29.761302,8.6,22.0,1,5000000,67268835,148806510
Adam Vermillion,6000000.0,1214525.0,1427656.0,0.20242083333333333,0.23794266666666666,4.1,39.0,1,6000000,1214525,1427656
Adam Wingard,5500000.0,19635533.5,32936377.0,10.28585605,15.392867350000001,5.8,58159.0,2,11000000,39271067,65872754
Aditya Om,9900000.0,3759078.0,11310835.0,0.3797048484848485,1.142508585858586,4.9,14.0,1,9900000,3759078,11310835
Adrian Molina,175000000.0,209726015.0,798008101.0,1.1984343714285715,4.560046291428572,8.4,277194.0,1,175000000,209726015,798008101
Adrian Noble,15000000.0,8378141.0,8378141.0,0.5585427333333334,0.5585427333333334,8.3,70.0,1,15000000,8378141,8378141
Agnès Jaoui,20000000.0,18826490.0,18826490.0,0.9413245,0.9413245,5.9,1174.0,1,20000000,18826490,18826490
Agus Pestol,10000000.0,20384136.0,20384136.0,2.0384136,2.0384136,4.5,205.0,1,10000000,20384136,20384136
Ahmad Bargouthi,3000000.0,5529144.0,11322573.0,1.843048,3.774191,7.6,11.0,1,3000000,5529144,11322573
Ahmet Boyacioglu,10000000.0,5241315.0,5241315.0,0.5241315,0.5241315,6.2,843.0,1,10000000,5241315,5241315
Aisha Bulahova,10000000.0,30564825.0,51723644.0,3.0564825,5.1723644,5.9,32.0,1,10000000,30564825,51723644
Akiva Schaffer,37500000.0,21924565.0,38333582.5,0.5497032500000001,0.8487011363636363,6.2,81517.5,2,75000000,43849130,76667165
Al Ghanekar,29200000.0,2280004.0,5466698.0,0.07808232876712329,0.18721568493150684,5.5,12.0,1,29200000,2280004,5466698
Alan Poul,35000000.0,37490007.0,75281179.0,1.071143057142857,2.1508908285714288,5.4,46128.0,1,35000000,37490007,75281179
Alan Taylor,150000000.0,206362140.0,644602516.0,1.3757476,4.297350106666666,6.9,540996.0,1,150000000,206362140,644602516
Alan Yuen,19000000.0,8123860.0,8123860.0,0.4275715789473684,0.4275715789473684,6.2,2391.0,1,19000000,8123860,8123860
Alastair Siddons,175000000.0,356461711.0,854235992.0,2.036924062857143,4.8813485257142855,7.5,60.0,1,175000000,356461711,854235992
Albert Hughes,65500000.0,65343219.0,129187845.0,0.9442032265931373,1.9689070474264705,6.800000000000001,156594.5,2,131000000,130686438,258375690
Albert Maysles,5500000.0,5580479.0,5580479.0,1.0146325454545455,1.0146325454545455,7.1,3947.0,1,5500000,5580479,5580479
Alejandro Fernández Almendras,8000000.0,22549338.0,22549338.0,2.81866725,2.81866725,6.6,517.0,1,8000000,22549338,22549338
Alejandro G. Iñárritu,62666666.666666664,77026576.33333333,220280306.66666666,1.2860952564373898,3.462406947795414,7.733333333333333,406997.3333333333,3,188000000,231079729,660840920
Alejandro Monteverde,20000000.0,6485961.0,17769299.0,0.32429805,0.88846495,7.4,20945.0,1,20000000,6485961,17769299
Aleksander Bach,35000000.0,22467450.0,82182803.0,0.6419271428571428,2.348080085714286,5.7,80510.0,1,35000000,22467450,82182803
Aleksandra Strelyanaya,22000000.0,50621733.0,110521733.0,2.3009878636363634,5.023715136363636,5.3,18.0,1,22000000,50621733,110521733
Alessandro Carloni,140000000.0,143528619.0,517599142.0,1.0252044214285714,3.6971367285714285,7.1,116166.0,1,140000000,143528619,517599142
Alex Garland,34000000.0,29086636.0,40714653.5,1.2760652573426574,1.866876541958042,7.300000000000001,326603.0,2,68000000,58173272,81429307
Alex Kendrick,2500000.0,51156169.0,54580561.5,19.928908083333333,21.125677500000002,6.75,14651.0,2,5000000,102312338,109161123
Alex Kurtzman,97000000.0,82639468.33333333,279652288.3333333,1.0433602,2.6985794393162394,6.033333333333334,116102.66666666667,3,291000000,247918405,838956865
