,title,primary_name,averagerating,numvotes
1,Laiye Je Yaarian,Sukh Sanghera,8.3,31
2,Borderless,Caolan Robertson,8.9,559
3,Borderless,George Llewelyn-John,8.9,559
4,Just Inès,Marcel Grant,6.4,20
8,The Legend of Hercules,Renny Harlin,4.2,50352
9,Até Onde?,Carlos M. Barros,6.5,21
13,Habana Eva,Fina Torres,6.2,326
15,The Hammer,Oren Kaplan,7.0,1613
17,The Night Clerk,Raphaël Jacoulot,6.4,571
18,Silent Sonata,Janez Burger,7.2,265
19,Vanquisher,Dean Gold,4.2,148
20,Baggage Claim,David E. Talbert,5.1,8296
21,The Four-Faced Liar,Jacob Chase,5.8,2381
22,Jack and the Cuckoo-Clock Heart,Mathias Malzieu,7.0,5494
23,Jack and the Cuckoo-Clock Heart,Stéphane Berla,7.0,5494
24,Black Widow,Mark Roemmich,5.5,74
28,Moneyball,Bennett Miller,7.6,326657
29,Hereafter,Clint Eastwood,6.5,87288
39,Why I Did (Not) Eat My Father,Jamel Debbouze,5.0,941
42,Mission: Impossible - Ghost Protocol,Brad Bird,7.4,428142
46,21 Jump Street,Phil Lord,7.2,477771
50,21 Jump Street,Christopher Miller,7.2,477771
53,VIPs,Toniko Melo,6.6,2725
54,Aloha,Cameron Crowe,5.4,54646
56,Under the Boardwalk: The Monopoly Story,Kevin Tostado,6.2,416
57,War of the Gods,Jennifer Abbott,4.0,21
60,Sex and the City 2,Michael Patrick King,4.4,69199
64,Quartier lointain,Sam Garbarski,7.0,1413
66,Hunter Prey,Sandy Collora,5.8,5728
69,Don't Be Afraid of the Dark,Troy Nixey,5.6,44490
70,Small Apartments,Jonas Åkerlund,6.1,6688
73,Weddings and Other Disasters,Nina Di Majo,5.4,381
74,Burning Palms,Christopher Landon,5.4,2527
75,Ghosts Don't Exist,Eric Espejo,3.4,387
76,America Stripped,David Palmer,7.7,76
77,Dancing Ninja,Mitchell Klebanoff,4.5,113
78,Dancing Ninja,Kelly Sandefur,4.5,113
80,Burke and Hare,John Landis,6.2,18431
81,Going the Distance,Nanette Burstein,6.3,54421
82,Andrey Iskanov's Ingression,Andrey Iskanov,5.1,101
83,The People vs. George Lucas,Alexandre O. Philippe,6.7,4240
84,The Custom Mary,Matt Dunnerstick,7.2,29
86,California State of Mind: The Legacy of Pat Brown,Sascha Rice,8.4,21
87,Preacher's Kid,Stan Foster,5.2,738
88,The Final Storm,Uwe Boll,3.6,1621
90,Night Terrors,Bobby Ray Akers Jr.,2.1,17
91,Speed-Dating,Joseph A. Elmore Jr.,2.5,345
93,Paradox,Brenton Spencer,4.6,495
99,Little Secret,David Schurmann,7.7,1293
101,The Shouting Men,Steve Kelly,5.0,223
103,The Forger,Lawrence Roeck,5.4,4302
104,Lipstikka,Jonathan Sagall,6.1,163
107,The Adventurer: The Curse of the Midas Box,Jonathan Newman,5.4,5257
108,Florent: Queen of the Meat Market,David Sigal,7.5,31
110,Cesado,Daniela Schneider,5.7,15
111,You May Not Kiss the Bride,Rob Hedden,5.4,6220
113,Don't Let Him In,Kelly Smith,3.5,1701
114,Remember Me,Allen Coulter,7.1,129443
116,A Date with Fear,Asit Kaul,8.5,31
118,The Bannen Way,Jesse Warren,5.3,1768
119,Greenlit,Miranda Bailey,8.2,40
120,Michel Petrucciani,Michael Radford,7.5,197
122,Tirza,Rudolf van den Berg,6.4,1502
125,Headlock,Johan Carlsen,6.1,16
127,Dog Pound,Kim Chapiron,7.0,10025
130,Taxiphone: El Mektoub,Mohammed Soudani,4.9,19
133,The Way to Live,David Schalko,6.4,227
134,Dark Love,Antonio Capuano,6.3,86
