primary_name,production_budget,domestic_gross,worldwide_gross,domestic_roi,worldwide_roi,averagerating,numvotes,count,total_production_budget,total_domestic_gross,total_worldwide_gross
James Wan,92875000.0,219869529.5,770872115.25,11.707043756990132,24.41049176995614,7.175000000000001,312458.0,4,371500000,879478118,3083488461
Ryan Coogler,79300000.0,275308715.0,513125150.0,8.118254921311312,10.31063745941942,7.466666666666666,269668.6666666667,3,237900000,825926145,1539375450
Damien Chazelle,27766666.666666668,69710118.0,190174675.0,4.090435704040404,11.626584774747476,7.966666666666666,390998.3333333333,3,83300000,209130354,570524025
Derek Cianfrance,12000000.0,14562463.333333334,28619807.0,3.9306974055555557,6.938141066666667,7.3,147700.33333333334,3,36000000,43687390,85859421
Phil Lord,50666666.666666664,195983907.33333334,330625231.0,3.8090572434920635,6.361456003492063,7.333333333333333,367151.3333333333,3,152000000,587951722,991875693
Christopher Miller,50666666.666666664,195983907.33333334,330625231.0,3.8090572434920635,6.361456003492063,7.333333333333333,367151.3333333333,3,152000000,587951722,991875693
Chris Renaud,75000000.0,262939838.75,629695859.5,3.5493331409158086,8.487083193319984,7.05,243551.25,4,300000000,1051759355,2518783438
Richard Linklater,4333333.333333333,14231695.0,30210651.333333332,3.527538527777778,7.917800472222222,7.533333333333334,164152.0,3,13000000,42695085,90631954
Tate Taylor,33333333.333333332,91890185.66666667,140246028.66666666,3.1608888451851853,4.5029927644444445,7.166666666666667,187566.66666666666,3,100000000,275670557,420738086
Ethan Coen,22666666.666666668,71523813.0,116460285.0,2.4881076255411254,4.373049136796538,7.133333333333333,173071.66666666666,3,68000000,214571439,349380855
Joel Coen,22666666.666666668,71523813.0,116460285.0,2.4881076255411254,4.373049136796538,7.133333333333333,173071.66666666666,3,68000000,214571439,349380855
John Madden,14500000.0,28535014.5,69836942.5,2.424886488888889,6.315369908333333,7.074999999999999,57144.0,4,58000000,114140058,279347770
David Fincher,63666666.666666664,122415225.33333333,277621098.0,2.1044711678506376,4.774949739450515,7.866666666666666,572583.3333333334,3,191000000,367245676,832863294
David Leitch,56666666.666666664,139734498.33333334,320420327.0,2.0348530959595963,4.323662964646465,7.3,330694.6666666667,3,170000000,419203495,961260981
Ben Affleck,48833333.333333336,79530106.66666667,133827356.66666667,1.9026478493073886,3.187569050637327,7.233333333333334,301483.3333333333,3,146500000,238590320,401482070
Steve McQueen,22166666.666666668,34358972.666666664,91768090.66666667,1.5031342782051282,4.679452142307691,7.433333333333334,270089.6666666667,3,66500000,103076918,275304272
Steven Spielberg,92142857.14285715,98153473.85714285,275048542.14285713,1.328772971255887,3.181120541899529,7.228571428571429,187085.57142857142,7,645000000,687074317,1925339795
Denis Villeneuve,62960000.0,61469797.8,135263939.2,1.3068759011523414,2.672154854926394,7.980000000000001,374140.2,5,314800000,307348989,676319696
Alejandro G. Iñárritu,62666666.666666664,77026576.33333333,220280306.66666666,1.2860952564373898,3.462406947795414,7.733333333333333,406997.3333333333,3,188000000,231079729,660840920
Brian Helgeland,27000000.0,37465106.333333336,54467462.666666664,1.2533908004301075,1.9271612137634409,7.166666666666667,118532.33333333333,3,81000000,112395319,163402388
Matthew Vaughn,96500000.0,105744042.5,316576214.75,1.2400417752531712,3.4848023972136573,7.449999999999999,470400.0,4,386000000,422976170,1266304859
Paul Greengrass,91666666.66666667,101608891.33333333,244779840.0,1.2181719637373736,2.8183615545454543,7.066666666666666,233376.66666666666,3,275000000,304826674,734339520
J.A. Bayona,84333333.33333333,146826821.66666666,507259311.6666667,1.00655599751482,4.333396429708162,7.099999999999999,155767.66666666666,3,253000000,440480465,1521777935
Gavin O'Connor,30000000.0,33810317.666666664,60316271.0,0.9211124816666666,1.647840425,7.133333333333333,218609.33333333334,3,90000000,101430953,180948813
Jeff Nichols,10437500.0,8685388.75,14276822.25,0.8964823152046784,1.5155587220760234,7.1,83996.5,4,41750000,34741555,57107289
Ross Whitaker,33747702.0,42910636.0,95639649.0,0.8871786822668124,1.656661131074389,7.466666666666666,25.333333333333332,3,101243106,128731908,286918947
Marc Forster,98333333.33333333,100704481.0,244247132.0,0.8019582235087719,1.8516361887719297,7.033333333333334,222187.33333333334,3,295000000,302113443,732741396
Doug Liman,70250000.0,41212204.25,134175806.75,0.605191941928839,1.7033618240262172,7.025,185395.0,4,281000000,164848817,536703227
Fien Troch,47500000.0,59137647.666666664,143597021.33333334,0.4651540769230769,30.851850194871798,7.2,811.0,3,142500000,177412943,430791064
Oleg Pogodin,47500000.0,59137647.666666664,143597021.33333334,0.4651540769230769,30.851850194871798,7.5,1049.0,3,142500000,177412943,430791064
Dario Pleic,47500000.0,59137647.666666664,143597021.33333334,0.4651540769230769,30.851850194871798,8.4,32.0,3,142500000,177412943,430791064
Danny Boyle,21990000.0,12086155.4,46079305.2,0.4490073369444444,1.6865044677777778,7.519999999999999,134870.2,5,109950000,60430777,230396526
