genres,production_budget,domestic_gross,worldwide_gross,domestic_roi,worldwide_roi,start_year,count,release_year,total_domestic_gross,total_worldwide_gross
Action,69670341.94018692,73857495.99252336,202066426.43551403,1.060099519188971,2.9003220137629184,2014.0411214953272,535,2012.340186915888,39513760356,108105538143
Adventure,93691934.88135593,107903268.96125908,305819339.6319613,1.1516815091704453,3.2640946098426378,2014.3414043583534,413,2013.130750605327,44564050081,126303387268
Animation,87088426.22950819,117834676.33606558,321319419.1803279,1.3530463396540242,3.6895765957871354,2014.27868852459,122,2012.5737704918033,14375830513,39200969140
Biography,23162978.486187845,32406094.220994476,68620254.29834254,1.3990469420985012,2.962497000947482,2014.254143646409,181,2011.8176795580112,5865503054,12420266028
Comedy,35159383.94851794,49681996.174726985,112567456.50702028,1.4130508158923873,3.2016333583047687,2013.5772230889236,641,2012.0920436817473,31846159548,72155739621
Crime,27917583.24422442,29367990.914191417,62146549.74587459,1.0519531958507566,2.2260719777286395,2013.5940594059407,303,2011.897689768977,8898501247,18830404573
Documentary,19093881.010869566,26080096.25543478,48811330.342391305,1.3658876495872252,2.5563860125976743,2013.733695652174,184,2005.9510869565217,4798737711,8981284783
Drama,23566868.83909091,28131532.91181818,60572570.04454546,1.1936898831955036,2.5702425917554366,2013.67,1100,2010.8436363636363,30944686203,66629827049
Family,53090250.0,61475610.06060606,148381500.67424244,1.1579453865936977,2.7948917301056677,2013.4318181818182,132,2009.969696969697,8114780528,19586358089
Fantasy,76081379.31034483,69355881.77931035,203334735.26206896,0.911601267064305,2.672595280280643,2013.9103448275862,145,2012.903448275862,10056602858,29483536613
History,27433076.923076924,28551764.323076922,56802585.323076926,1.0407787796876313,2.07058746936601,2014.5384615384614,65,2013.1846153846154,1855864681,3692168046
Horror,15925378.467153285,24353101.51459854,53157877.98540146,1.5292008014018483,3.3379349881725986,2013.7299270072992,274,2010.2919708029196,6672749815,14565258568
Music,16107580.64516129,29557074.16129032,62183084.14516129,1.8349791202299057,3.8604856629316995,2013.741935483871,62,2012.5645161290322,1832538598,3855351217
Musical,35743750.0,69114742.1875,160647123.5625,1.9336175467739116,4.494411570204581,2015.1875,16,2005.1875,1105835875,2570353977
Mystery,22937363.775757577,34476077.58181818,77146263.81212121,1.5030531807781602,3.3633448275192306,2013.9151515151516,165,2012.1090909090908,5688552801,12729133529
Romance,20478302.325581394,27075453.53875969,56336553.89147287,1.322153228734062,2.7510363406002423,2013.1860465116279,258,2011.4341085271317,6985467013,14534830904
Sci-Fi,73641564.33727811,93574180.3668639,259814690.39053255,1.270670730707111,3.5280984689649197,2014.2426035502958,169,2012.7514792899408,15814036482,43908682676
Sport,25538829.78723404,34089902.82978723,68762352.14893617,1.334826345364797,2.6924629171266115,2013.7659574468084,47,2010.5106382978724,1602225433,3231830551
Thriller,26865048.16272966,32869324.43832021,81957478.32283464,1.2234976925863243,3.050710269581264,2013.5905511811025,381,2011.0551181102362,12523212611,31225799241
War,23325000.0,24118954.638888888,57183108.972222224,1.0340387840895557,2.451580234607598,2013.0277777777778,36,2007.9722222222222,868282367,2058591923
Western,43129411.76470588,33325731.82352941,71986564.64705883,0.7726915452809602,1.6690829228041464,2013.5294117647059,17,2010.0588235294117,566537441,1223771599
