release_month,production_budget,domestic_gross,worldwide_gross,domestic_roi,worldwide_roi,start_year,count,release_year
Apr ,5370090000,6392417315,15532343242,356.7569605739972,600.2899010445195,388648,193,387978
Aug ,5147728000,6252729496,13052685537,399.08113284992515,792.6754821423216,364470,181,363760
Dec ,8972178000,11473719031,27907952273,427.97835095875945,784.4351142591522,580001,288,578858
Feb ,5350180000,6933198817,15197496383,262.17500838803244,449.87952499390144,312184,155,311800
Jan ,3830791000,3959816615,9362905281,324.9129130379053,602.752490244955,289976,144,289555
Jul ,7682390000,9927438796,25833185062,546.6078389669974,1046.6539626864824,338262,168,337901
Jun ,9243982311,13345603292,33047003585,329.2199076723643,644.3806018645648,350438,174,349800
Mar ,7859414173,9010499990,21304885513,269.52165675109495,474.1331896571291,378617,188,378275
May ,8293834785,9482982483,24682119442,310.80486674081675,516.7618250208637,304070,151,303636
Nov ,9045153406,11429125253,29420390173,486.83553097921885,916.6986227499599,380654,189,379895
Oct ,5374440000,5736015965,13618724563,395.95023651735494,793.6920901519097,451097,224,450147
Sep ,4893644050,5297480276,11414168595,276.7404396511554,547.0321077599576,398698,198,398122
